Theta1,Theta2,Theta3,U,V,R,X,Y,Z
35,130,60,,,,,,
35,130,65,,,,,,
35,130,70,112,12,11,267.7,32.0,221.2
35,130,75,,,,,,
35,135,50,,,,,,
35,135,55,120,24,11,256.8,24.8,221.2
35,135,60,116,16,11,264.1,28.4,221.2
35,135,65,,,,,,
35,135,70,,,,,,
35,135,75,,,,,,
35,140,50,,,,,,
35,140,55,134,78,11,207.7,12.0,221.2
35,140,60,130,70,12,211.2,14.4,243.6
35,140,65,,,,,,
35,140,70,,,,,,
35,140,75,,,,,,
35,145,50,,,,,,
35,145,55,136,212,19,121.3,5.9,334.4
35,145,60,130,64,13,212.7,13.3,262.6
35,145,65,130,60,15,209.7,11.5,292.9
35,145,70,130,56,13,218.8,13.3,262.6
35,145,75,,,,,,
35,150,50,,,,,,
35,150,55,130,204,18,123.1,9.6,325.8
35,150,60,130,54,11,229.5,15.7,221.2
35,150,65,,,,,,
35,150,70,,,,,,
35,150,75,,,,,,
35,155,50,136,66,12,214.6,9.4,243.6
35,155,55,134,54,12,224.6,11.0,243.6
35,155,60,142,218,12,88.0,4.4,243.6
35,155,65,134,44,17,214.4,7.8,316.1
35,155,70,,,,,,
35,155,75,,,,,,
40,90,50,162,202,16,118.5,-9.2,305.2
40,90,55,146,112,12,176.3,1.0,243.6
40,90,60,146,112,11,176.8,1.1,221.2
40,90,65,146,106,12,181.3,1.0,243.6
40,90,70,144,102,12,184.6,2.7,243.6
40,90,75,142,98,12,187.9,4.4,243.6
40,95,50,160,194,14,116.8,-9.1,278.8
40,95,55,146,106,11,182.3,1.1,221.2
40,95,60,146,100,11,187.7,1.1,221.2
40,95,65,142,98,11,189.5,4.8,221.2
40,95,70,144,96,11,191.4,3.0,221.2
40,95,75,142,94,12,191.3,4.4,243.6
40,100,50,,,,,,
40,100,55,146,94,11,193.2,1.1,221.2
40,100,60,144,90,12,194.6,2.7,243.6
40,100,65,142,86,12,197.9,4.4,243.6
40,100,70,142,80,11,205.9,4.8,221.2
40,100,75,144,80,15,196.3,2.2,292.9
40,105,50,160,166,12,131.3,-10.6,243.6
40,105,55,146,84,10,205.5,1.2,194.4
40,105,60,144,76,12,206.2,2.7,243.6
40,105,65,144,72,12,209.6,2.7,243.6
40,105,70,154,154,11,138.7,-6.1,221.2
40,105,75,140,64,13,212.7,5.6,262.6
40,110,50,158,148,12,146.3,-9.0,243.6
40,110,55,144,68,12,212.9,2.7,243.6
40,110,60,,,,,,
40,110,65,144,60,13,215.8,2.5,262.6
40,110,70,142,54,12,224.6,4.4,243.6
40,110,75,140,48,13,225.0,5.6,262.6
40,115,50,148,76,11,209.5,-0.7,221.2
40,115,55,142,58,11,225.9,4.8,221.2
40,115,60,144,54,11,229.5,3.0,221.2
40,115,65,142,46,12,231.2,4.4,243.6
40,115,70,142,42,12,234.6,4.4,243.6
40,115,75,138,36,13,234.2,7.1,262.6
40,120,50,156,132,14,161.1,-6.2,278.8
40,120,55,142,50,11,233.2,4.8,221.2
40,120,60,156,120,14,169.7,-6.2,278.8
40,120,65,154,118,17,170.9,-4.0,316.1
40,120,70,140,32,13,237.3,5.6,262.6
40,120,75,138,26,13,241.9,7.1,262.6
40,125,50,156,112,11,176.8,-8.0,221.2
40,125,55,154,106,12,181.3,-5.6,243.6
40,125,60,142,34,11,247.7,4.8,221.2
40,125,65,140,24,12,249.6,6.0,243.6
40,125,70,138,18,12,254.6,7.7,243.6
40,125,75,138,12,12,259.6,7.7,243.6
40,130,50,160,104,15,180.3,-8.5,292.9
40,130,55,144,30,12,244.6,2.7,243.6
40,130,60,156,96,10,193.5,-8.8,194.4
40,130,65,154,86,13,195.8,-5.2,262.6
40,130,70,152,86,12,197.9,-4.0,243.6
40,130,75,,,,,,
40,135,50,154,96,11,191.4,-6.1,221.2
40,135,55,156,230,11,69.6,-8.0,221.2
40,135,60,154,82,12,201.2,-5.6,243.6
40,135,65,,,,,,
40,135,70,152,72,13,206.5,-3.7,262.6
40,135,75,,,,,,
40,140,50,152,86,12,197.9,-4.0,243.6
40,140,55,,,,,,
40,140,60,158,68,17,200.3,-6.3,316.1
40,140,65,152,68,15,204.3,-3.2,292.9
40,140,70,,,,,,
40,140,75,,,,,,
40,145,50,62,36,12,239.6,71.0,243.6
40,145,55,152,64,12,216.2,-4.0,243.6
40,145,60,150,64,14,209.6,-2.0,278.8
40,145,65,,,,,,
40,145,70,,,,,,
40,145,75,,,,,,
40,150,50,148,200,19,127.7,-0.4,334.4
40,150,55,158,56,17,207.3,-6.3,316.1
40,150,60,158,52,17,209.7,-6.3,316.1
40,150,65,148,196,18,127.5,-0.4,325.8
40,150,70,152,50,17,210.9,-2.8,316.1
40,150,75,156,40,19,211.8,-4.6,334.4
40,155,50,,,,,,
40,155,55,,,,,,
40,155,60,,,,,,
40,155,65,148,214,16,111.0,-0.5,305.2
40,155,70,150,38,12,237.9,-2.3,243.6
40,155,75,152,36,15,225.7,-3.2,292.9
45,90,50,,,,,,
45,90,55,156,114,11,175.0,-8.0,221.2
45,90,60,152,110,11,178.6,-4.3,221.2
45,90,65,152,106,11,182.3,-4.3,221.2
45,90,70,154,104,14,181.1,-4.8,278.8
45,90,75,154,100,13,185.0,-5.2,262.6
45,95,50,164,192,11,104.1,-15.2,221.2
45,95,55,156,106,11,182.3,-8.0,221.2
45,95,60,154,100,11,187.7,-6.1,221.2
45,95,65,152,98,11,189.5,-4.3,221.2
45,95,70,152,94,12,191.3,-4.0,243.6
45,95,75,154,92,13,191.2,-5.2,262.6
45,100,50,164,180,11,115.0,-15.2,221.2
45,100,55,156,96,11,191.4,-8.0,221.2
45,100,60,,,,,,
45,100,65,156,86,12,197.9,-7.3,243.6
45,100,70,154,82,12,201.2,-5.6,243.6
45,100,75,156,80,10,209.5,-8.8,194.4
45,105,50,,,,,,
45,105,55,156,84,11,202.3,-8.0,221.2
45,105,60,156,78,11,207.7,-8.0,221.2
45,105,65,154,72,12,209.6,-5.6,243.6
45,105,70,154,68,12,212.9,-5.6,243.6
45,105,75,166,156,13,141.9,-14.4,262.6
45,110,50,,,,,,
45,110,55,156,68,11,216.8,-8.0,221.2
45,110,60,154,64,12,216.2,-5.6,243.6
45,110,65,152,58,14,213.9,-3.4,278.8
45,110,70,154,54,13,220.4,-5.2,262.6
45,110,75,154,48,14,221.1,-4.8,278.8
45,115,50,160,76,12,206.2,-10.6,243.6
45,115,55,158,60,11,224.1,-9.8,221.2
45,115,60,156,54,11,229.5,-8.0,221.2
45,115,65,154,46,12,231.2,-5.6,243.6
45,115,70,166,126,14,165.4,-13.4,278.8
45,115,75,154,36,14,229.6,-4.8,278.8
45,120,50,164,128,12,162.9,-14.0,243.6
45,120,55,156,48,12,229.6,-7.3,243.6
45,120,60,156,44,12,232.9,-7.3,243.6
45,120,65,164,116,14,172.5,-12.0,278.8
45,120,70,154,30,12,244.6,-5.6,243.6
45,120,75,154,24,14,238.2,-4.8,278.8
45,125,50,164,116,10,173.5,-16.8,194.4
45,125,55,156,36,11,245.9,-8.0,221.2
45,125,60,156,30,12,244.6,-7.3,243.6
45,125,65,154,22,11,258.6,-6.1,221.2
45,125,70,154,18,12,254.6,-5.6,243.6
45,125,75,156,14,14,245.3,-6.2,278.8
45,130,50,156,48,10,241.5,-8.8,194.4
45,130,55,170,92,17,186.2,-13.4,316.1
45,130,60,156,22,11,258.6,-8.0,221.2
45,130,65,156,16,10,273.5,-8.8,194.4
45,130,70,156,10,10,279.5,-8.8,194.4
45,130,75,,,,,,
45,135,50,156,40,10,249.5,-8.8,194.4
45,135,55,156,18,11,262.2,-8.0,221.2
45,135,60,154,14,11,265.9,-6.1,221.2
45,135,65,,,,,,
45,135,70,,,,,,
45,135,75,,,,,,
45,140,50,166,86,11,200.5,-17.0,221.2
45,140,55,166,72,10,217.5,-18.8,194.4
45,140,60,,,,,,
45,140,65,,,,,,
45,140,70,,,,,,
45,140,75,,,,,,
45,145,50,,,,,,
45,145,55,166,70,11,215.0,-17.0,221.2
45,145,60,166,64,11,220.4,-17.0,221.2
45,145,65,164,58,12,221.2,-14.0,243.6
45,145,70,,,,,,
45,145,75,,,,,,
45,150,50,,,,,,
45,150,55,154,200,18,125.3,-3.7,325.8
45,150,60,166,52,10,237.5,-18.8,194.4
45,150,65,,,,,,
45,150,70,164,48,12,229.6,-14.0,243.6
45,150,75,164,46,16,215.9,-10.5,305.2
45,155,50,,,,,,
45,155,55,152,212,17,115.6,-2.8,316.1
45,155,60,,,,,,
45,155,65,164,42,11,240.4,-15.2,221.2
45,155,70,,,,,,
45,155,75,,,,,,
50,90,50,172,202,12,101.3,-20.6,243.6
50,90,55,168,116,12,172.9,-17.3,243.6
50,90,60,170,114,10,175.5,-22.8,194.4
50,90,65,170,112,11,176.8,-20.7,221.2
50,90,70,176,196,13,111.2,-22.1,262.6
50,90,75,,,,,,
50,95,50,174,192,11,104.1,-24.3,221.2
50,95,55,170,106,11,182.3,-20.7,221.2
50,95,60,172,100,11,187.7,-22.5,221.2
50,95,65,172,98,12,187.9,-20.6,243.6
50,95,70,172,94,12,191.3,-20.6,243.6
50,95,75,172,92,13,191.2,-19.0,262.6
50,100,50,170,110,10,179.5,-22.8,194.4
50,100,55,172,94,10,195.5,-24.8,194.4
50,100,60,,,,,,
50,100,65,172,88,11,198.6,-22.5,221.2
50,100,70,174,82,13,198.8,-20.6,262.6
50,100,75,174,78,14,199.6,-19.1,278.8
50,105,50,,,,,,
50,105,55,174,84,12,199.6,-22.3,243.6
50,105,60,174,80,12,202.9,-22.3,243.6
50,105,65,172,72,12,209.6,-20.6,243.6
50,105,70,172,68,12,212.9,-20.6,243.6
50,105,75,176,64,13,212.7,-22.1,262.6
50,110,50,170,88,11,198.6,-20.7,221.2
50,110,55,174,70,11,215.0,-24.3,221.2
50,110,60,174,68,11,216.8,-24.3,221.2
50,110,65,176,60,12,219.6,-24.0,243.6
50,110,70,174,56,12,222.9,-22.3,243.6
50,110,75,178,140,14,155.4,-22.0,278.8
50,115,50,176,76,13,203.5,-22.1,262.6
50,115,55,174,60,11,224.1,-24.3,221.2
50,115,60,176,56,10,233.5,-28.8,194.4
50,115,65,174,48,12,229.6,-22.3,243.6
50,115,70,176,44,12,232.9,-24.0,243.6
50,115,75,176,36,14,229.6,-20.5,278.8
50,120,50,176,62,11,222.3,-26.1,221.2
50,120,55,180,120,12,169.6,-27.3,243.6
50,120,60,176,40,12,236.2,-24.0,243.6
50,120,65,182,116,16,172.2,-21.7,305.2
50,120,70,178,30,13,238.8,-23.7,262.6
50,120,75,178,24,11,256.8,-28.0,221.2
50,125,50,180,116,10,173.5,-32.8,194.4
50,125,55,176,42,11,240.4,-26.1,221.2
50,125,60,176,32,12,242.9,-24.0,243.6
50,125,65,178,26,12,247.9,-25.6,243.6
50,125,70,178,18,11,262.2,-28.0,221.2
50,125,75,176,14,14,245.3,-20.5,278.8
50,130,50,176,48,11,235.0,-26.1,221.2
50,130,55,176,28,11,253.2,-26.1,221.2
50,130,60,178,24,10,265.5,-30.8,194.4
50,130,65,178,16,12,256.2,-25.6,243.6
50,130,70,180,10,12,261.2,-27.3,243.6
50,130,75,,,,,,
50,135,50,,,,,,
50,135,55,178,22,12,251.2,-25.6,243.6
50,135,60,178,16,11,264.1,-28.0,221.2
50,135,65,184,76,11,209.5,-33.4,221.2
50,135,70,188,72,11,213.2,-37.0,221.2
50,135,75,186,70,12,211.2,-32.3,243.6
50,140,50,,,,,,
50,140,55,184,74,12,207.9,-30.6,243.6
50,140,60,,,,,,
50,140,65,184,68,12,212.9,-30.6,243.6
50,140,70,186,66,16,203.4,-24.2,305.2
50,140,75,,,,,,
50,145,50,182,76,11,209.5,-31.6,221.2
50,145,55,182,66,11,218.6,-31.6,221.2
50,145,60,184,64,12,216.2,-30.6,243.6
50,145,65,184,58,12,221.2,-30.6,243.6
50,145,70,186,54,12,224.6,-32.3,243.6
50,145,75,,,,,,
50,150,50,,,,,,
50,150,55,,,,,,
50,150,60,,,,,,
50,150,65,184,52,12,226.2,-30.6,243.6
50,150,70,,,,,,
50,150,75,186,46,16,215.9,-24.2,305.2
50,155,50,184,66,11,218.6,-33.4,221.2
50,155,55,184,54,11,229.5,-33.4,221.2
50,155,60,184,50,12,227.9,-30.6,243.6
50,155,65,184,46,10,243.5,-36.8,194.4
50,155,70,184,42,12,234.6,-30.6,243.6
50,155,75,184,38,12,237.9,-30.6,243.6
55,90,50,178,204,16,117.2,-19.2,305.2
55,90,55,176,116,11,173.2,-26.1,221.2
55,90,60,180,112,11,176.8,-29.8,221.2
55,90,65,180,108,11,180.5,-29.8,221.2
55,90,70,180,104,11,184.1,-29.8,221.2
55,90,75,180,104,13,181.9,-25.2,262.6
55,95,50,180,192,13,114.3,-25.2,262.6
55,95,55,180,108,11,180.5,-29.8,221.2
55,95,60,,,,,,
55,95,65,180,98,12,187.9,-27.3,243.6
55,95,70,184,98,10,191.5,-36.8,194.4
55,95,75,182,92,12,192.9,-29.0,243.6
55,100,50,180,112,12,176.3,-27.3,243.6
55,100,55,180,96,12,189.6,-27.3,243.6
55,100,60,182,90,11,196.8,-31.6,221.2
55,100,65,184,88,11,198.6,-33.4,221.2
55,100,70,186,86,14,193.9,-27.7,278.8
55,100,75,186,80,13,200.4,-29.8,262.6
55,105,50,178,98,11,189.5,-28.0,221.2
55,105,55,182,84,11,202.3,-31.6,221.2
55,105,60,184,78,12,204.6,-30.6,243.6
55,105,65,186,74,12,207.9,-32.3,243.6
55,105,70,188,72,15,201.7,-27.2,292.9
55,105,75,186,64,13,212.7,-29.8,262.6
55,110,50,,,,,,
55,110,55,184,74,11,211.4,-33.4,221.2
55,110,60,184,66,11,218.6,-33.4,221.2
55,110,65,188,60,12,219.6,-34.0,243.6
55,110,70,188,56,11,227.7,-37.0,221.2
55,110,75,186,52,10,237.5,-38.8,194.4
55,115,50,182,80,12,202.9,-29.0,243.6
55,115,55,186,64,11,220.4,-35.2,221.2
55,115,60,188,54,12,224.6,-34.0,243.6
55,115,65,190,50,12,227.9,-35.6,243.6
55,115,70,190,44,13,228.1,-32.9,262.6
55,115,75,192,38,13,232.7,-34.4,262.6
55,120,50,184,70,11,215.0,-33.4,221.2
55,120,55,190,50,10,239.5,-42.8,194.4
55,120,60,190,44,11,238.6,-38.9,221.2
55,120,65,190,36,11,245.9,-38.9,221.2
55,120,70,192,32,13,237.3,-34.4,262.6
55,120,75,192,24,14,238.2,-32.0,278.8
55,125,50,188,118,11,171.4,-37.0,221.2
55,125,55,190,38,11,244.1,-38.9,221.2
55,125,60,190,32,12,242.9,-35.6,243.6
55,125,65,192,26,12,247.9,-37.3,243.6
55,125,70,196,98,11,189.5,-44.3,221.2
55,125,75,194,12,12,259.6,-39.0,243.6
55,130,50,186,50,10,239.5,-38.8,194.4
55,130,55,192,30,12,244.6,-37.3,243.6
55,130,60,192,24,11,256.8,-40.7,221.2
55,130,65,194,18,12,254.6,-39.0,243.6
55,130,70,196,12,12,259.6,-40.6,243.6
55,130,75,196,4,12,266.2,-40.6,243.6
55,135,50,188,42,11,240.4,-37.0,221.2
55,135,55,194,88,14,192.5,-33.4,278.8
55,135,60,194,84,11,202.3,-42.5,221.2
55,135,65,196,10,13,254.2,-37.5,262.6
55,135,70,,,,,,
55,135,75,200,72,11,213.2,-48.0,221.2
55,140,50,192,92,14,189.6,-32.0,278.8
55,140,55,196,76,12,206.2,-40.6,243.6
55,140,60,160,222,13,91.2,-9.8,262.6
55,140,65,162,224,16,104.7,-9.2,305.2
55,140,70,200,64,11,220.4,-48.0,221.2
55,140,75,200,62,13,214.2,-40.6,262.6
55,145,50,162,210,17,116.8,-8.7,316.1
55,145,55,,,,,,
55,145,60,,,,,,
55,145,65,,,,,,
55,145,70,,,,,,
55,145,75,,,,,,
55,150,50,,,,,,
55,150,55,196,62,12,217.9,-40.6,243.6
55,150,60,196,56,12,222.9,-40.6,243.6
55,150,65,200,52,11,231.3,-48.0,221.2
55,150,70,200,48,14,221.1,-37.7,278.8
55,150,75,202,48,15,217.7,-36.5,292.9
55,155,50,194,66,10,223.5,-46.8,194.4
55,155,55,196,56,11,227.7,-44.3,221.2
55,155,60,198,50,12,227.9,-42.3,243.6
55,155,65,198,48,12,229.6,-42.3,243.6
55,155,70,198,46,12,231.2,-42.3,243.6
55,155,75,200,42,11,240.4,-48.0,221.2
60,90,50,182,206,14,108.2,-24.8,278.8
60,90,55,190,120,12,169.6,-35.6,243.6
60,90,60,192,116,10,173.5,-44.8,194.4
60,90,65,192,112,11,176.8,-40.7,221.2
60,90,70,194,110,12,177.9,-39.0,243.6
60,90,75,192,106,11,182.3,-40.7,221.2
60,95,50,184,196,11,100.5,-33.4,221.2
60,95,55,190,108,11,180.5,-38.9,221.2
60,95,60,192,104,11,184.1,-40.7,221.2
60,95,65,194,100,11,187.7,-42.5,221.2
60,95,70,196,100,13,185.0,-37.5,262.6
60,95,75,200,98,10,191.5,-52.8,194.4
60,100,50,188,114,11,175.0,-37.0,221.2
60,100,55,190,98,10,191.5,-42.8,194.4
60,100,60,196,96,12,189.6,-40.6,243.6
60,100,65,198,90,12,194.6,-42.3,243.6
60,100,70,198,84,14,195.4,-36.2,278.8
60,100,75,200,84,13,197.3,-40.6,262.6
60,105,50,190,170,11,124.1,-38.9,221.2
60,105,55,196,84,11,202.3,-44.3,221.2
60,105,60,198,80,12,202.9,-42.3,243.6
60,105,65,200,76,11,209.5,-48.0,221.2
60,105,70,202,72,13,206.5,-42.1,262.6
60,105,75,204,164,17,143.8,-33.4,316.1
60,110,50,,,,,,
60,110,55,194,74,11,211.4,-42.5,221.2
60,110,60,200,68,12,212.9,-44.0,243.6
60,110,65,204,64,12,216.2,-47.3,243.6
60,110,70,206,60,15,209.7,-39.2,292.9
60,110,75,208,54,15,213.7,-40.5,292.9
60,115,50,196,146,11,145.9,-44.3,221.2
60,115,55,200,64,11,220.4,-48.0,221.2
60,115,60,202,58,12,221.2,-45.6,243.6
60,115,65,204,52,12,226.2,-47.3,243.6
60,115,70,208,46,13,226.5,-46.7,262.6
60,115,75,206,136,13,157.3,-45.2,262.6
60,120,50,198,136,14,158.2,-36.2,278.8
60,120,55,204,54,12,224.6,-47.3,243.6
60,120,60,204,46,12,231.2,-47.3,243.6
60,120,65,208,42,12,234.6,-50.6,243.6
60,120,70,208,34,11,247.7,-55.2,221.2
60,120,75,210,28,11,253.2,-57.0,221.2
60,125,50,200,122,10,167.5,-52.8,194.4
60,125,55,204,42,11,240.4,-51.6,221.2
60,125,60,208,36,11,245.9,-55.2,221.2
60,125,65,210,30,12,244.6,-52.3,243.6
60,125,70,212,24,13,243.4,-49.8,262.6
60,125,75,212,20,14,241.1,-46.2,278.8
60,130,50,202,112,11,176.8,-49.8,221.2
60,130,55,206,32,12,242.9,-49.0,243.6
60,130,60,208,26,11,255.0,-55.2,221.2
60,130,65,210,18,12,254.6,-52.3,243.6
60,130,70,214,14,12,257.9,-55.6,243.6
60,130,75,214,86,16,190.9,-41.7,305.2
60,135,50,204,102,12,184.6,-47.3,243.6
60,135,55,206,26,11,255.0,-53.4,221.2
60,135,60,210,84,12,199.6,-52.3,243.6
60,135,65,212,12,11,267.7,-58.9,221.2
60,135,70,212,78,13,201.9,-49.8,262.6
60,135,75,,,,,,
60,140,50,,,,,,
60,140,55,210,18,10,271.5,-62.8,194.4
60,140,60,,,,,,
60,140,65,170,220,18,114.2,-12.6,325.8
60,140,70,,,,,,
60,140,75,218,66,14,208.2,-50.5,278.8
60,145,50,172,212,19,121.3,-13.0,334.4
60,145,55,210,72,12,209.6,-52.3,243.6
60,145,60,212,66,12,214.6,-54.0,243.6
60,145,65,220,200,14,112.5,-52.0,278.8
60,145,70,,,,,,
60,145,75,,,,,,
60,150,50,206,78,11,207.7,-53.4,221.2
60,150,55,,,,,,
60,150,60,220,188,14,121.1,-52.0,278.8
60,150,65,,,,,,
60,150,70,,,,,,
60,150,75,,,,,,
60,155,50,,,,,,
60,155,55,,,,,,
60,155,60,212,54,10,235.5,-64.8,194.4
60,155,65,214,50,12,227.9,-55.6,243.6
60,155,70,,,,,,
60,155,75,,,,,,
65,90,50,192,208,12,96.3,-37.3,243.6
65,90,55,204,122,11,167.7,-51.6,221.2
65,90,60,206,116,14,172.5,-42.0,278.8
65,90,65,210,114,11,175.0,-57.0,221.2
65,90,70,212,112,12,176.3,-54.0,243.6
65,90,75,214,110,13,177.3,-51.3,262.6
65,95,50,,,,,,
65,95,55,204,114,11,175.0,-51.6,221.2
65,95,60,208,108,12,179.6,-50.6,243.6
65,95,65,212,106,12,181.3,-54.0,243.6
65,95,70,214,102,11,185.9,-60.7,221.2
65,95,75,,,,,,
65,100,50,,,,,,
65,100,55,210,100,10,189.5,-62.8,194.4
65,100,60,214,98,12,187.9,-55.6,243.6
65,100,65,216,92,11,195.0,-62.5,221.2
65,100,70,218,90,13,192.7,-54.4,262.6
65,100,75,222,86,14,193.9,-53.4,278.8
65,105,50,204,106,11,182.3,-51.6,221.2
65,105,55,214,92,11,195.0,-60.7,221.2
65,105,60,216,86,11,200.5,-62.5,221.2
65,105,65,220,82,13,198.8,-56.0,262.6
65,105,70,224,76,14,201.1,-54.8,278.8
65,105,75,226,72,13,206.5,-60.6,262.6
65,110,50,,,,,,
65,110,55,216,78,11,207.7,-62.5,221.2
65,110,60,222,74,12,207.9,-62.3,243.6
65,110,65,224,68,12,212.9,-64.0,243.6
65,110,70,226,62,12,217.9,-65.6,243.6
65,110,75,230,58,12,221.2,-69.0,243.6
65,115,50,208,152,11,140.5,-55.2,221.2
65,115,55,220,68,11,216.8,-66.1,221.2
65,115,60,224,64,12,216.2,-64.0,243.6
65,115,65,226,58,12,221.2,-65.6,243.6
65,115,70,230,54,14,216.8,-59.1,278.8
65,115,75,232,48,13,225.0,-65.2,262.6
65,120,50,214,72,10,217.5,-66.8,194.4
65,120,55,222,56,11,227.7,-68.0,221.2
65,120,60,222,48,11,235.0,-68.0,221.2
65,120,65,226,44,12,232.9,-65.6,243.6
65,120,70,230,38,13,232.7,-63.7,262.6
65,120,75,232,34,14,231.1,-60.5,278.8
65,125,50,214,126,10,163.5,-66.8,194.4
65,125,55,226,48,12,229.6,-65.6,243.6
65,125,60,228,40,12,236.2,-67.3,243.6
65,125,65,230,34,12,241.2,-69.0,243.6
65,125,70,234,26,12,247.9,-72.3,243.6
65,125,75,238,22,13,245.0,-69.8,262.6
65,130,50,216,116,12,172.9,-57.3,243.6
65,130,55,224,36,11,245.9,-69.8,221.2
65,130,60,226,30,12,244.6,-65.6,243.6
65,130,65,232,24,12,249.6,-70.6,243.6
65,130,70,234,18,12,254.6,-72.3,243.6
65,130,75,,,,,,
65,135,50,218,106,12,181.3,-59.0,243.6
65,135,55,224,30,11,251.3,-69.8,221.2
65,135,60,228,22,11,258.6,-73.4,221.2
65,135,65,232,16,11,264.1,-77.0,221.2
65,135,70,,,,,,
65,135,75,240,4,11,275.0,-84.3,221.2
65,140,50,224,220,11,78.7,-69.8,221.2
65,140,55,226,22,11,258.6,-71.6,221.2
65,140,60,,,,,,
65,140,65,234,10,12,261.2,-72.3,243.6
65,140,70,,,,,,
65,140,75,232,72,16,199.7,-53.0,305.2
65,145,50,,,,,,
65,145,55,226,76,12,206.2,-65.6,243.6
65,145,60,,,,,,
65,145,65,,,,,,
65,145,70,,,,,,
65,145,75,,,,,,
65,150,50,,,,,,
65,150,55,,,,,,
65,150,60,230,64,12,216.2,-69.0,243.6
65,150,65,,,,,,
65,150,70,,,,,,
65,150,75,,,,,,
65,155,50,,,,,,
65,155,55,226,60,11,224.1,-71.6,221.2
65,155,60,182,210,19,122.4,-18.3,334.4
65,155,65,230,56,12,222.9,-69.0,243.6
65,155,70,,,,,,
65,155,75,,,,,,
70,90,50,,,,,,
70,90,55,210,126,11,164.1,-57.0,221.2
70,90,60,214,122,11,167.7,-60.7,221.2
70,90,65,216,120,12,169.6,-57.3,243.6
70,90,70,220,116,11,173.2,-66.1,221.2
70,90,75,,,,,,
70,95,50,,,,,,
70,95,55,216,114,12,174.6,-57.3,243.6
70,95,60,218,112,12,176.3,-59.0,243.6
70,95,65,220,108,11,180.5,-66.1,221.2
70,95,70,226,106,12,181.3,-65.6,243.6
70,95,75,,,,,,
70,100,50,204,192,12,109.6,-47.3,243.6
70,100,55,220,108,11,180.5,-66.1,221.2
70,100,60,224,104,12,182.9,-64.0,243.6
70,100,65,226,100,13,185.0,-60.6,262.6
70,100,70,232,98,10,191.5,-84.8,194.4
70,100,75,218,186,14,122.5,-50.5,278.8
70,105,50,,,,,,
70,105,55,216,172,13,129.6,-52.9,262.6
70,105,60,228,92,10,197.5,-80.8,194.4
70,105,65,232,86,13,195.8,-65.2,262.6
70,105,70,234,80,11,205.9,-78.9,221.2
70,105,75,238,78,13,201.9,-69.8,262.6
70,110,50,,,,,,
70,110,55,228,80,11,205.9,-73.4,221.2
70,110,60,234,78,12,204.6,-72.3,243.6
70,110,65,236,72,12,209.6,-74.0,243.6
70,110,70,240,68,13,209.6,-71.3,262.6
70,110,75,244,64,13,212.7,-74.4,262.6
70,115,50,222,88,11,198.6,-68.0,221.2
70,115,55,232,72,11,213.2,-77.0,221.2
70,115,60,236,68,12,212.9,-74.0,243.6
70,115,65,240,62,12,217.9,-77.3,243.6
70,115,70,244,58,12,221.2,-80.6,243.6
70,115,75,250,54,15,213.7,-68.5,292.9
70,120,50,228,76,11,209.5,-73.4,221.2
70,120,55,236,60,11,224.1,-80.7,221.2
70,120,60,240,56,11,227.7,-84.3,221.2
70,120,65,232,128,15,164.3,-56.5,292.9
70,120,70,250,46,13,226.5,-79.0,262.6
70,120,75,254,38,13,232.7,-82.1,262.6
70,125,50,224,132,13,160.4,-59.0,262.6
70,125,55,240,52,10,237.5,-92.8,194.4
70,125,60,244,48,13,225.0,-74.4,262.6
70,125,65,248,38,14,228.2,-72.0,278.8
70,125,70,252,34,13,235.8,-80.6,262.6
70,125,75,256,28,13,240.4,-83.7,262.6
70,130,50,236,54,11,229.5,-80.7,221.2
70,130,55,242,42,11,240.4,-86.1,221.2
70,130,60,248,36,11,245.9,-91.6,221.2
70,130,65,250,30,12,244.6,-85.6,243.6
70,130,70,254,24,13,243.4,-82.1,262.6
70,130,75,258,18,13,248.1,-85.2,262.6
70,135,50,,,,,,
70,135,55,192,228,16,102.2,-28.0,305.2
70,135,60,192,230,11,69.6,-40.7,221.2
70,135,65,192,228,16,102.2,-28.0,305.2
70,135,70,256,16,12,256.2,-90.6,243.6
70,135,75,260,12,12,259.6,-94.0,243.6
70,140,50,200,206,17,119.1,-31.0,316.1
70,140,55,196,214,11,84.1,-44.3,221.2
70,140,60,198,210,15,109.7,-33.8,292.9
70,140,65,194,214,11,84.1,-42.5,221.2
70,140,70,194,214,13,97.3,-36.0,262.6
70,140,75,,,,,,
70,145,50,228,208,12,96.3,-67.3,243.6
70,145,55,242,82,11,204.1,-86.1,221.2
70,145,60,200,198,13,109.6,-40.6,262.6
70,145,65,200,198,13,109.6,-40.6,262.6
70,145,70,206,208,16,114.7,-36.7,305.2
70,145,75,,,,,,
70,150,50,234,88,10,201.5,-86.8,194.4
70,150,55,244,76,12,206.2,-80.6,243.6
70,150,60,204,192,11,104.1,-51.6,221.2
70,150,65,,,,,,
70,150,70,,,,,,
70,150,75,,,,,,
70,155,50,,,,,,
70,155,55,232,186,12,114.6,-70.6,243.6
70,155,60,,,,,,
70,155,65,,,,,,
70,155,70,,,,,,
70,155,75,188,210,19,122.4,-21.4,334.4
75,90,50,202,216,16,109.7,-34.2,305.2
75,90,55,222,132,11,158.6,-68.0,221.2
75,90,60,226,128,11,162.3,-71.6,221.2
75,90,65,230,126,12,164.6,-69.0,243.6
75,90,70,232,122,12,167.9,-70.6,243.6
75,90,75,,,,,,
