Theta1,Theta2,Theta3,U,V,R,X,Y,Z
5,120,70,52,144,14,152.5,68.0,278.8
5,120,75,44,134,11,156.8,93.9,221.2
5,125,50,70,144,13,151.2,59.4,262.6
5,125,55,,,,,,
5,125,60,50,130,14,162.5,69.5,278.8
5,125,65,,,,,,
5,125,70,44,132,17,162.7,60.7,316.1
5,125,75,38,128,16,164.7,68.3,305.2
5,130,50,68,134,11,156.8,72.0,221.2
5,130,55,52,124,15,167.0,63.5,292.9
5,130,60,46,118,12,171.3,84.4,243.6
5,130,65,38,120,11,169.6,99.3,221.2
5,130,70,36,122,17,168.5,65.4,316.1
5,130,75,30,114,14,173.9,83.7,278.8
5,135,50,60,122,11,167.7,79.3,221.2
5,135,55,54,120,14,169.7,66.6,278.8
5,135,60,46,114,15,173.7,67.5,292.9
5,135,65,40,112,16,174.7,67.0,305.2
5,135,70,28,106,13,180.4,91.7,262.6
5,135,75,,,,,,
5,140,50,58,112,14,175.4,63.7,278.8
5,140,55,44,106,12,181.3,86.0,243.6
5,140,60,42,102,11,185.9,95.7,221.2
5,140,65,34,98,12,187.9,94.4,243.6
5,140,70,28,100,15,183.0,79.5,292.9
5,140,75,24,98,13,186.5,94.8,262.6
5,145,50,96,230,19,111.9,27.0,334.4
5,145,55,44,102,14,182.5,73.8,278.8
5,145,60,36,100,16,182.2,69.5,305.2
5,145,65,34,90,11,196.8,103.0,221.2
5,145,70,,,,,,
5,145,75,20,90,14,191.1,90.9,278.8
5,150,50,86,222,19,116.1,32.2,334.4
5,150,55,42,90,14,191.1,75.2,278.8
5,150,60,42,94,11,193.2,95.7,221.2
5,150,65,92,220,18,114.2,30.7,325.8
5,150,70,94,220,18,114.2,29.6,325.8
5,150,75,90,222,13,91.2,44.0,262.6
5,155,50,84,210,17,116.8,37.2,316.1
5,155,55,38,88,13,194.2,84.0,262.6
5,155,60,40,88,12,196.2,89.4,243.6
5,155,65,32,82,13,198.8,88.7,262.6
5,155,70,88,210,17,116.8,34.9,316.1
5,155,75,22,76,10,213.5,125.2,194.4
10,90,50,118,206,17,119.1,17.2,316.1
10,90,55,76,136,11,155.0,64.8,221.2
10,90,60,72,132,11,158.6,68.4,221.2
10,90,65,64,130,10,159.5,83.2,194.4
10,90,70,106,208,18,120.9,22.9,325.8
10,90,75,100,210,19,122.4,24.9,334.4
10,95,50,120,200,16,119.7,17.0,305.2
10,95,55,72,128,12,162.9,62.7,243.6
10,95,60,66,126,11,164.1,73.9,221.2
10,95,65,106,194,18,128.6,22.9,325.8
10,95,70,94,196,11,100.5,48.4,221.2
10,95,75,92,196,15,119.0,36.8,292.9
10,100,50,108,186,11,109.6,35.7,221.2
10,100,55,100,180,11,115.0,43.0,221.2
10,100,60,60,116,11,173.2,79.3,221.2
10,100,65,98,186,14,122.5,35.2,278.8
10,100,70,94,182,10,107.5,53.2,194.4
10,100,75,86,188,16,127.2,38.3,305.2
10,105,50,108,180,11,115.0,35.7,221.2
10,105,55,60,106,12,181.3,72.7,243.6
10,105,60,88,166,10,123.5,59.2,194.4
10,105,65,88,166,15,139.0,39.5,292.9
10,105,70,86,168,17,141.5,36.0,316.1
10,105,75,80,170,17,140.3,39.6,316.1
10,110,50,98,170,15,136.4,32.8,292.9
10,110,55,88,156,11,136.8,53.9,221.2
10,110,60,84,158,15,144.3,42.2,292.9
10,110,65,78,160,16,144.7,43.3,305.2
10,110,70,70,158,12,137.9,64.4,243.6
10,110,75,68,160,13,138.9,61.0,262.6
10,115,50,96,160,11,133.2,46.6,221.2
10,115,55,80,146,13,149.6,51.7,262.6
10,115,60,80,144,12,149.6,56.0,243.6
10,115,65,76,142,18,157.5,39.6,325.8
10,115,70,72,148,18,154.2,41.8,325.8
10,115,75,60,146,13,149.6,67.1,262.6
10,120,50,86,140,10,149.5,61.2,194.4
10,120,55,78,140,15,156.3,46.2,292.9
10,120,60,74,138,16,158.4,45.8,305.2
10,120,65,72,132,18,163.1,41.8,325.8
10,120,70,62,130,12,161.3,71.0,243.6
10,120,75,60,134,16,160.9,54.5,305.2
10,125,50,80,132,11,158.6,61.1,221.2
10,125,55,68,128,12,162.9,66.0,243.6
10,125,60,66,124,13,166.5,62.5,262.6
10,125,65,,,,,,
10,125,70,,,,,,
10,125,75,54,118,14,171.1,66.6,278.8
10,130,50,78,126,10,163.5,69.2,194.4
10,130,55,66,116,12,172.9,67.7,243.6
